Identifiant;Nom_officiel;Adresse;Lieu;Code_postal;Ville;Région;Departement;URL;Telephone;Categorie;Domaine_thematique;Histoire;Atout;Thèmes;Artiste;Personnage_phare;Intérêt;Protection_batiment;Protection_espace;Refmer;Annee_creation;Date_de_mise_a_jour;Coordonnees
M0121;musée d'art Roger Quillot;place Louis Deteix;ancien couvent des Ursulines de Montferrand;63100;Clermont-Ferrand;Auvergne-Rhône-Alpes;Puy-de-Dôme;www.clermontmetropole.eu/bouger-se-divertir/le-dynamisme-culturel/les-musees-de-clermont-auvergne-metropole/marq-musee-dart-roger-quilliot/;04 43 76 25 25;;Arts décoratifs,Art moderne et contemporain,Beaux-arts;La construction du musée des beaux-arts visait à regrouper en un même lieu les collections de peinture, sculpture, mobilier et objets d'art de deux musées de la ville (Bargoin et Ranquet).  Les collections de beaux-arts sont formées dès 1830, par des dons et des dépôts de l’État.  Une politique d'achat vigoureuse, conjuguée aux dons, aux dépôts, aux legs, enrichit notablement les collections.;Plus de deux mille œuvres des différents domaines des beaux-arts : peinture, sculpture, mobilier, objets d'art, arts graphiques, photographie, sont exposées de façon synthétique au fil d'une présentation chronologique et pédagogique. C'est un musée conçu pour tous, petits et grands, à visiter en famille ou entre amis, à découvrir lors d'une visite au cœur de la capitale auvergnate, un parcours conduisant de l'art occidental médiéval à l'époque contemporaine.;"Archéologie nationale : Médiéval, Moderne;Art religieux;Arts décoratifs : Céramique, Mobilier, Orfèvrerie, Textiles, Verrerie;Beaux-Arts : Dessin, Estampe et Affiche, Peinture, Sculpture;Civilisations extra-européennes : Asiatiques, Islamiques (Afrique du nord);Collections militaires : Armes;Moulages, Numismatique, Plans;Ethnologie : Costume, Mobilier, Pratiques religieuses et collectives";"Philippe de Champaigne ; Simon Vouet ; Jacques Blanchard ; Jean Daret ; Théodore Rombouts ; David Ryckaerts III ; Sassoferato ; Donato Creti ; François Boucher ; Augustin Pajou ; Prosper Marilhat ; Jean Desbrosses ; Armand Guillaumin ; Jacques Chinard ; Eugène Deveria ; Théodore Chassériau ; Bartholdi ; Camille Claudel ; Armand Guillaumin ; Albert Lebourg ; Victor Charreton.";;Ancien couvent des Ursulines de Montferrand (XVIIe-XVIIIe siècles).  Restructuration architecturale intérieure par les architectes Adrien Fainsilber et Claude Gaillard et l'ingénieur Peter Rice pour couverture verrière atrium (1986 à 1990).;Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00091987?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&ou=%5B%22Clermont-Ferrand%22%5D&last_view=%22list%22&idQuery=%22ecfa0a2-50b-c017-b3b3-d4c1baf6186%22;Site patrimonial remarquable.;"PA00091987;SPR8400115";1830;2025-07-29;45.793027, 3.07827
M0125;musée Lapidaire;place de l'abbaye;abbaye;63200;Mozac;Auvergne-Rhône-Alpes;Puy-de-Dôme;www.ville-mozac.com/La-crypte-et-le-musee-lapidaire.html;04 73 38 18 53;Musée de site;Archéologie;Créé en 1950 ce dépôt lapidaire rassemble des fragments provenant de l'église actuelle ou d'édifices antérieurs à sa construction.;A travers ces modillons à copeaux, chapiteaux à feuillages ou figurés et autres éléments décoratifs sculptés découverts aux abords du bâtiment et de ses dépendances, il est permis de mieux comprendre le travail des tailleurs de pierres du moyen âge et d'imaginer ce qu'était l'abbatiale à l'époque romane.;"Médiéval;Chapiteaux à feuillages ou figurés et autres éléments décoratifs sculptés";;;;Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00092212?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&ou=%5B%22Mozac%22%5D&last_view=%22list%22&idQuery=%2271056a7-a843-6ef6-ca7a-46ddca24d526%22;Site patrimonial remarquable. Abords d'un Monument historique.;"PA00092212;SPR8400120";;2025-03-06;45.892133, 3.094609
M0126;musée municipal;château;;63790;Murol;Auvergne-Rhône-Alpes;Puy-de-Dôme;murolchateau.com/;04 73 88 67 10;musée en zone rurale;Histoire;;Animations. Le harnois (équipement de l'homme d'arme), la défense du château, l'accueil aux seigneurs, l'héraldique, la vie quotidienne de la mesnie, artisans et paysans. Le fief, les gardes, la table, l'investiture.;;;;Culminant à 1.050 mètres, la forteresse de Murol, dotée d’une double enceinte concentrique est fondée au XIIe siècle. Situé au cœur d’une région fertile, prospère et fortement peuplée, il a pour vocation première le commandement de trois routes régionales importantes.   Aux XIIIe et XIVe siècles, les seigneurs de Murol jouissent d’une importante situation en Auvergne mais ils n’échappent pas à la crise qui secoue la France : la guerre de Cent Ans et les épidémies. Le château de Murol n’a jamais été pris par les Anglais, mais les raids de routiers et les ravages de la peste provoquent l’abandon de nombreux villages. C’est dans ce contexte que le château reprend de plus belle son rôle de protecteur de la population. Des travaux sont accomplis pour son renforcement dans les années 1390 par Guillaume II de Murol. Entre le XVe et le début du XVIIe siècle, la forteresse, propriété de la famille d’Estaing, continue à s’adapter aux différentes évolutions militaires. Épargné par la politique de désarmement de Richelieu puis par la Révolution française, le château perd peu à peu toute fonction résidentielle, devenant successivement une prison, un repaire de brigands et enfin une carrière de pierres. En 1890, son dernier propriétaire, Henri-Guillaume de Chabrol, le donne au département du Puy-de-Dôme qui le cède en 1953 à la commune de Murol, toujours propriétaire.;Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00092213?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&ou=%5B%22Murol%22%5D&last_view=%22list%22&idQuery=%22dc18e1-be6-0453-8ee-0362c5861161%22;;PA00092213;;2025-04-10;45.590429, 2.921508
M0127;musée Francisque Mandet;14 rue de l'hôtel de ville;;63200;Riom;Auvergne-Rhône-Alpes;Puy-de-Dôme;www.rlv.eu/decouvrir/musees/musee-mandet.html;04 73 38 18 53;;Archéologie,Arts décoratifs,Art moderne et contemporain,Beaux-arts,Histoire;Collections de peintures du XVIIe au XIXe acquises par la Société d'amis en 1866 sous l'autorité du conseiller Francisque Mandet. Le musée d'abord installé dans l'hôtel Dujouhannel de Jenzat, transféré dans l'hôtel de Chabrol-Volvic acquis par la ville grâce à la générosité d'un riomois. Ses collections ont été enrichies par la donation du bâtonnier Edouard Richard, de la cour d'Appel de Riom et de sa femme, d'une collection d'un millier d'objets d'art;La visite commence par des salles présentant un intéressant ensemble de peintures des écoles flamande et hollandaise du XVIIe siècle (Ykens - Saftleven - J.A Backer) ainsi que des œuvres de l'école française des XVIIe et XVIIIe siècles (Natoire - Raoux - Regnault). Un étage entier est consacré au XIXe siècle avec une galerie de portraits des hommes illustres de l'Auvergne, des peintures d'artistes régionaux (Cornet - Berthon - Devedeux) et des sculptures (Rodin - Meissonier). La seconde partie du musée abrite des collections d'objets d'art décoratif qui s'étagent de l'Antiquité au XVIIIe siècle. Un portrait funéraire du IIe - IIIe siècle après J.-C., découvert dans la région d'Egypte du Fayoum, attire d'autant plus l'attention qu'il subsiste peu d'oeuvres peintes de l'Antiquité. La section Moyen-Age, riche en statuaire, avec notamment une Vierge romane Auvergnate, permet également d'admirer un très bel ensemble de primitifs italiens et flamands. Les salles meublées des XVIe, XVIIe et XVIIIe siècles sont particulièrement intéressantes. Pour ces deux dernières périodes, deux domaines sont privilégiés : l'orfèvrerie civile avec une importante représentation de la production riomoise et la céramique qui comporte un bel ensemble de faïences françaises. Enfin, une salle est réservée aux collections d'armes du XVIe au XIXe siècles.;"Antiquités étrangères : Grecques et romaines, Egyptiennes;Archéologie nationale : Gallo-romain;Arts décoratifs : Céramique, Mobilier, Orfèvrerie, Textiles;Beaux-Arts";J. Backer, Ykens, Brekelenkam, Jan Gossaert, Martin de Vos, Safteven, Natoire, J-B Regnault, Jean Raoux, Durameau, Le Dominquin, Pedro di Orrente, Parrocel, Auguste Rodin;Mr et Mme Richard, donateur de la collection d'arts décoratifs anciens;Hôtel de Chabrol-Volvic (XVIIIe siècle) de style classique, bâti en pierre de Volvic, entre cour et jardin, donnant sur un second bâtiment, l'hôtel Desaix (XVIIe-XVIIIe siècles) relié par une galerie qui sert de salle d'exposition temporaire.;Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA63000134;Site patrimonial remarquable.;"PA63000134;IA63001573;SPR8400122";;2025-07-25;45.893874, 3.116508
M0128;musée régional d'Auvergne;10 bis rue Delille;;63200;Riom;Auvergne-Rhône-Alpes;Puy-de-Dôme;www.rlv.eu/decouvrir/musees/musee-regional-d-auvergne.html;04 73 38 17 31;;Ethnologie;Inauguré en 1969, ce musée qui a conservé sa présentation d'origine est un des derniers à témoigner aujourd'hui de ce qu'avaient imaginé, dans une France en pleine mutation, les historiens, muséographes et ethnologues des années 1930-1940. Il a pour modèle le musée national des Arts et Traditions Populaires fondé par l'un des pères de l'ethnographie française, Georges-Henri Rivière. « Conserver pour transmettre », telle est l'idée retenue par les fondateurs du musée régional d'Auvergne et au premier rang Pierre Sabatier, qui mirent plus de dix ans pour réunir les pièces qui constituent aujourd'hui ses collections. Une présentation volontairement dépouillée met en valeur des objets choisis pour leur rôle évocateur de savoir-faire et de modes de vie aujourd'hui souvent disparus plutôt que pour leur qualité esthétique, cependant réelle.;La vie agricole occupe ici une large place, travaux des champs, élevage, apiculture, chasse, pêche, viticulture ainsi que différentes formes d'artisanat, féminin ou masculin, fabrication de dentelle ou de chapelets, filage, tissage, taille de la pierre, poterie, vannerie. La salle commune d'une maison de l'est du département donne un exemple de l'habitat auvergnat d'autrefois, mobilier, vaisselle, luminaire, objets de la vie quotidienne évoquent la vie domestique. Naissance, mariage, veuvage, ainsi que jeux, musiques et fêtes - dont celle du saint patron de Riom, saint Amable - évoquent les différents moments de la vie. Le musée s'enorgueillit d'une importante collection de costumes, coiffes et bijoux des différents secteurs d'Auvergne ainsi que d'un fonds important de sculptures religieuses en bois polychrome.;Ethnologie : Costume, Habitat, Mobilier, Métiers et outil, Pratiques religieuses et collectives;;;Ancien hôtel particulier du XVIIIe siècle, réaménagé aux XIXe et XXe siècles.;;Site patrimonial remarquable.;"IA63002240;SPR8400122";;2023-04-12;45.895037, 3.116254
M0130;musée Marcel-Sahut;2 rue des écoles;château de Bosredon;63530;Volvic;Auvergne-Rhône-Alpes;Puy-de-Dôme;www.ville-volvic.fr/musee-marcel-sahut;04 73 33 57 33;;Arts décoratifs,Art moderne et contemporain,Beaux-arts,Ethnologie,Afrique,Asie;Le peintre Marcel Sahut (1901-1990),-fils et petit-fils de tailleurs de pierre volvicois-, et sa femme Yvonne donnent en 1985 leurs collections personnelles à la commune de Volvic, ainsi qu'une grande partie de l'oeuvre de l'artiste. Le musée est inauguré le 30 mars 1988. Destiné à promouvoir l'oeuvre du peintre, le musée Marcel-Sahut se tourne également, et progressivement, vers les arts de la pierre, notamment ceux de la pierre de Volvic. Le musée est installé dans la demeure d'une ancienne et noble famille auvergnate, le «château de Bosredon» (XVIIIe siècle, inscrit MH), un écrin patrimonial tout en pierre de Volvic.;"Oeuvres de Marcel Sahut : peintures, gravures et dessins ; arts asiatiques : estampes de grands maîtres japonais (Hokusai, Hiroshige, Toyokuni…), porcelaines et objets décoratifs ; arts africains : masques, sculptures et armes ; caricatures de Daumier et Grévin (le fondateur du musée Grévin) ; peintures, gravures et dessins du XIXe : Gustave Doré, Gauguin, Manet, Millet, Ravier, Rodin, Whistler… ; oeuvres du XXe : André Derain, Georges Braque, Eisenschitz, Foujita, Jacqueline Marval";"Arts décoratifs : Céramique (Porcelaines chinoises et poteries);Beaux-Arts : Dessin, Estampe et Affiche, Peinture, Sculpture;Civilisations extra-européennes : Africaines, Asiatiques";Gustave Doré, Théodore Rousseau, Ravier, Millet, Jongkind, Carrière, Daumier, Alfred Grévin. Manet, Whistler, Gauguin, Rodin, Jacqueline Marval, Jules Flandrin, André Planson, Pierre Brune, Jean Puy, Tal-Coat, Maurice Denis, Asselin, Derain, Othon Friesz, Foujita, Braque, Kupka, Lurçat, Bertholle;Marcel Sahut : publicitaire, illustrateur, décorateur et artiste;Château de Bosredon, édifice construit tout en pierre de Volvic. Jardin d'agrément d'accès public.;Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00092477?base=%22merimee%22&listResPage=4&qb=%5B%7B%22field%22%3A%5B%22ACTU.keyword%22%5D%2C%22operator%22%3A%22%2A%22%2C%22value%22%3A%22mus%C3%A9e%22%2C%22combinator%22%3A%22AND%22%2C%22index%22%3A0%7D%5D&resPage=4&last_view=%22list%22&idQuery=%2282002b3-d8ae-0c04-56f3-df2e3a2103%22;Site inscrit. Abords d'un Monument historique.;"PA00092477;IA63000903";;2024-02-07;45.872614, 3.038881
M0964;musées des pays de l'Ain;34 rue général Delestraint;;01000;Bourg-en-Bresse;Auvergne-Rhône-Alpes;Ain;www.ain.fr/solutions-services-infos-pratiques/culture-patrimoine/visiter-musees/;04 74 32 10 60;;Archéologie,Arts décoratifs,Art moderne et contemporain,Beaux-arts,Ethnologie,Histoire,Photographie,Sciences de la nature,Technique et industrie;Créée en 1986 par le Conseil général de l'Ain, la Conservation départementale a peu à peu constitué un maillage territorial et culturel de pôles-musées - musées de société, musées de territoire - dans les différents pays de l'Ain qui composent le département. Outil d'aménagement culturel du territoire, elle assure des missions culturelles et scientifiques de création, de conservation, de diffusion et de gestion, et développe des partenariats privés et publics auprès d'associations, collectivités, acteurs économiques, sociaux et culturels. Ces missions sont conduites sur sept sites : quatre musées départementaux à Saint-Cyr-sur-Menthon (musée de la Bresse - domaine des Planons), Lochieu (musée du Bugey-Valromey), Treffort-Cuisiat (musée du Revermont), Nantua (musée d'histoire de la Résistance et de la déportation) et trois sites ouverts pour des expositions temporaires ou des animations (à Jujurieux - Soieries Bonnet, en Dombes, en Pays de Gex, au Fort-l'Ecluse, commune de Léaz).;;;;;;;;;;2024-02-07;46.196543, 5.219217
M0967;musée du Bugey-Valromey;3 rue centrale;;01260;Lochieu;Auvergne-Rhône-Alpes;Ain;patrimoines.ain.fr/n/musee-du-bugey-valromey/n:970;04 79 87 52 23;Ecomusée;Arts décoratifs,Ethnologie;En 1971, l’association Sites et Monuments du Valromey achète cette maison du XVIe siècle dans la partie basse du village de Lochieu, pour la création d’un musée de territoire. L’édifice, très dégradé, exige une remise en état quasi-complète. Le musée ouvre ses portes aux visiteurs en 1974. En 1984, l’association achète la grange située dans le prolongement de la maison. En ruine, celle-ci est restaurée en un peu moins de deux années. Le passage du musée associatif au musée départemental se réalise progressivement de 1989 à 1996. En 1989, une convention est signée entre l’association Sites et Monuments du Valromey et le Département de l’Ain. L’ouverture du musée s’étend alors du 15 avril au 31 octobre et demeure encore, en partie gérée par l’association. L’appellation et le cadre territorial du musée changent dès 1989 selon les souhaits du conservateur départemental alors en place : le « Musée rural du Valromey » devient « Musée rural du Bugey-Valromey » puis « musée du Bugey-Valromey ». A partir de 1993 sont mis en place des animations et des expositions temporaires. Cette même année est inaugurée l’exposition temporaire « Tas de bois ». Elle met pour la première fois en avant de manière aussi significative l’importance des forêts et du bois en Bugey. Sur la saison 1995 est ouverte l’exposition « Yvonne Récamier, dessins et aquarelles. 1888-1949 » présentant la vie et l’œuvre de cette artiste régionale qui a énormément travaillé sur les paysages du Bugey. La donation des collections et des bâtiments au Département en 1996 fait désormais du musée un musée départemental.  La maison Renaissance et ses annexes abritent les collections permanentes sur 500 m² d’exposition et plus de 200 m² sont consacrés à l’animation. Les présentations prennent majoritairement la forme de reconstitutions. Elles évoquent principalement la vie quotidienne de la seconde moitié du XIXe siècle au début du XXe siècle. Dans la salle d’entrée du rez-de-chaussée, une cuisine est installée avec les objets évoquant la préparation de la nourriture, la cuisson des plats, le repas et la vaisselle. Le cellier est aménagé en cave à vin, la pièce située au-dessus de la salle d’entrée en chambre à coucher. Au-dessus de la cave, une salle sur l’archéologie présentait des objets des périodes préhistoriques, antiques, médiévales et modernes témoignant de l’ancienneté de la présence humaine sur le territoire. Une salle sur l’enfance et une autre sur la vie religieuse à la fin du XIXe siècle au début du XXe siècle sont aménagées dans deux petites pièces distribuées par l’escalier à vis menant au pigeonnier. Une bibliothèque contenant des ouvrages anciens était à l'origine présentée dans une troisième petite pièce. En 2003 est réaménagée une partie des espaces de la maison Renaissance et de la grange attenante. L’exposition « Le Bugey, histoire par monts et par vaux » est installée au rez-de-chaussée de cette dernière avec une maquette animée à l’étage. L’ancienne salle d’archéologie est transformée en salle des peintures et gravures après une exposition temporaire en 2001. Enfin, la chambre est réaménagée dans l’esprit de celle d’un notable de la fin du XIXe siècle. L’ancienne grange recevait des objets liés à la vie hivernale en Valromey. Tandis que le premier étage retraçait l’histoire du Valromey et des aspects militaires, le deuxième étage exposait des vêtements de femmes et d’hommes des XIXe et XXe siècles. Le dernier étage, lié aux activités artisanales et aux savoir-faire, présentait le travail des peigneurs de chanvre, cordonniers, bourreliers et vanniers. En 2004, les transformations se poursuivent dans les étages de l’ancienne grange. L’exposition sur le bois tourné contemporain y est installée de manière permanente. Dans la maison, les petites salles de la tour sont réinvesties. Les expositions sur le monde du jeu et de l’enfance ainsi que sur la vie religieuse sont réaménagées. La présentation du pigeonnier, dans la partie supérieure, est améliorée. Enfin, dans les annexes réaménagées une première fois en 2000 puis en 2014, une première salle est consacrée aux objets du travail agricole, une seconde à l’artisanat. Les collections sont formées de 7.298 objets et sont intégrées à l’ensemble du fonds départemental. Elles sont rattachées en majorité à la thématique de l’ethnographie rurale (agriculture, élevage, artisanat, vie domestique, religion et croyances, habillement, construction) et présentent les nombreux aspects de l'histoire et de la vie quotidienne en Bugey-Valromey du XVIIIe siècle à nos jours.  Les collections sont formées par ailleurs par des productions artistiques regroupant 250 œuvres en bois tourné contemporain et une centaine de tableaux datant du XIXe au XXIe siècles.;Aux portes de Lyon, de la Suisse et de la Savoie, à quelques kilomètres des vignobles bugistes, le musée du Bugey-Valromey propose de découvrir les différentes facettes du Bugey d'hier et d'aujourd'hui. Ses collections et ses reconstitutions réparties dans une maison Renaissance et ses réserves visitables offrent un regard sur cette société de moyenne montagne, ses personnalités célèbres, sa faune et ses paysages... Fil rouge et élément constitutif du Bugey-Valromey et du musée, le bois est omniprésent dans les collections : outils, machines, jouets, atelier de tourneur... mais également avec l'une des plus grandes collections d’œuvres d'art en bois tourné.;Ethnologie : vie quotidienne en moyenne montagne;;;Très bel environnement paysager, au pied du Grand Colombier, comprenant quatre bâtiments dont une maison construite en 1561, avec fenêtres à meneaux, four à pain, escalier à vis, pierre d'évier, pigeonnier intérieur...;;;;;2024-02-07;45.930633, 5.727664
M0968;musée de l'histoire de la résistance et de la déportation de l'Ain;3 montée de l'abbaye;;01130;Nantua;Auvergne-Rhône-Alpes;Ain;patrimoines.ain.fr/n/musee-de-la-resistance-et-de-la-deportation/n:809;04 74 75 07 50;musée en zone rurale;Histoire;Créé en 1983 à l'initiative de l'association des Amis du musée. Le 12 août 1985, le musée de la Résistance et de la déportation ouvre ses portes pour la première fois au public. Une équipe de bénévoles assure l’accueil des visiteurs. L’inauguration officielle a lieu le 18 octobre 1986 en présence de membres du gouvernement de l’époque. Associatif, le musée évolue rapidement vers un statut municipal et obtient également le soutien du Conseil général. En 1990, transfert de gestion du musée à la commune de Nantua. En 2004, départementalisation du musée.;Installé au coeur du Haut-Bugey, à Nantua, haut lieu d’histoire et de mémoire résistante, le musée de la Résistance et de la déportation de l’Ain propose, dans une scénographie complètement renouvelée accessible au plus grand nombre, une (re)lecture actualisée des événements de la Seconde Guerre mondiale à travers le vécu des habitants de l’Ain. La nouvelle présentation des collections, les nombreux outils multimédias (cartes en relief avec animation audiovisuelle, focus techniques sur les innovations en temps de restriction, films documentaires, spectacle immersif sur les parachutages), mais aussi des objets à toucher immergent le visiteur dans le quotidien de l’époque et donnent des clés de lecture sur cette période complexe et sombre de notre histoire.;Histoire : deuxième guerre mondiale;;;Ancienne prison de Nantua;;Site patrimonial remarquable.;SPR8400004;;2025-04-10;46.152378, 5.608744
M0969;musée du Peigne et de la Plasturgie;place Georges Pompidou;;10100;Oyonnax;Auvergne-Rhône-Alpes;Ain;www.oyonnax.fr/mes-loisirs/culture/musee-du-peigne-et-de-la-plasturgie/;04 74 81 96 82;;Arts décoratifs,Ethnologie,Histoire,Technique et industrie;Le principe de la création d'un musée industriel municipal à Oyonnax est entériné en 1922. Des collections artistiques et patrimoniales se constituent rapidement. Cependant, le musée n'est inauguré qu'en 1977, à l'initiative de la jeune chambre économique Nantua/Oyonnax (JCENO). En décembre 1975, a été créée l'association des amis du musée qui entreprend de recenser et de collecter des objets, des machines et des savoir-faire auprès de la population et des entreprises de la région. En vingt ans, plus de 7.000 objets sont rassemblés.  En 1986, le musée déménage de manière provisoire dans les locaux du centre culturel Aragon.  Actuellement, le musée est constitué d’un fonds exceptionnel de quelques 16.000 objets dans les domaines des arts et de l’industrie, des premiers peignes de buis aux objets design inaugurant de nouvelles matières bioplastiques. Le projet de restauration de la Grande Vapeur, monument emblématique de l'histoire industrielle d'Oyonnax, est en cours. Une étude de programmation définira un programme architectural et muséographique en vue d'y installer le musée du peigne et de la plasturgie ainsi que d'en aménager les abords.;Conservatoire des Pratiques artisanales, industrielles et artistiques, le musée retrace et saisit la biographie millénaire d'une ville, Oyonnax, à laquelle une géographie physique de moyenne montagne n'avait pas promis de destin agricole.  Peignes de toilette, ornements de coiffure, objets de charme et de toilette, lunettes optiques et solaires, mobilier, luminaires, jouets, vêtements, machines, outils, brevets, huiles sur toile, dessins… sont autant de facettes de la richesse de cette collection qui témoigne d'un destin hors du commun.  Les pièces de la collection sont présentées sous forme d'expositions temporaires thématiques qui renouvellent plusieurs fois, chaque année, la scénographie du musée.;"Architecture et urbanisme;Arts décoratifs (Celluloïd);Ethnologie : Métiers et Outils (Artisanat, machines);Histoire : Histoire locale et régionale;Sciences et techniques : Industrie";;;;;;;1922;2025-07-29;46.261019379136016, 5.648075546904289
